iter	RMSE
0	0.7451206589
1	0.7208411588
2	0.6969642665
3	0.6751472566
4	0.6543743392
5	0.6343372631
6	0.6155311393
7	0.59920739
8	0.5830224078
9	0.5676491281
10	0.5525456538
11	0.5383877278
12	0.5250928415
13	0.5113925298
14	0.4973941666
15	0.484798347
16	0.4726091235
17	0.4614823405
18	0.4496586993
19	0.439240049
20	0.4291179207
21	0.4203719682
22	0.4117572852
23	0.4040531868
24	0.3967303256
25	0.3897115484
26	0.3831417549
27	0.3774523234
28	0.370794235
29	0.3656433625
30	0.3602971246
31	0.3551339135
32	0.350627926
33	0.3467366358
34	0.3424839122
35	0.3386672592
36	0.3350909664
37	0.3318478002
38	0.3284674794
39	0.3259980302
40	0.3230052439
41	0.3208111649
42	0.318693124
43	0.315872109
44	0.3131941
45	0.3110000292
46	0.3086049079
47	0.3064683255
48	0.3048996439
49	0.3032320852
50	0.3016291328
51	0.299681716
52	0.2976607829
53	0.2964731924
54	0.2945276489
55	0.2934180734
56	0.2923578363
57	0.2908023415
58	0.2893867334
59	0.288449496
60	0.287020363
61	0.285797568
62	0.2850471913
63	0.2834865934
64	0.282232003
65	0.2815395619
66	0.2804213594
67	0.2797649745
68	0.2790585988
69	0.278412926
70	0.2780270525
71	0.2770477141
72	0.2759045205
73	0.2747421722
74	0.2739831702
75	0.2733088166
76	0.2727095991
77	0.272061536
78	0.2712947167
79	0.270535931
80	0.2699949648
81	0.2695857169
82	0.2690674264
83	0.2687870223
84	0.2683422068
85	0.267967796
86	0.2676713229
87	0.2673957251
88	0.2668043131
89	0.2661589411
90	0.2653899333
91	0.2648557882
92	0.2644876977
93	0.2640147152
94	0.2637694903
95	0.2633602362
96	0.2629535426
97	0.2621662764
98	0.2616083806
99	0.2613091045
100	0.2609176086
101	0.2603983371
102	0.2599246044
103	0.2596566766
104	0.2594573678
105	0.2591927051
106	0.2586878477
107	0.2583457604
108	0.2579914552
109	0.257804456
110	0.2574511408
111	0.2570813494
112	0.2567595512
113	0.2565074958
114	0.2562040635
115	0.2559896657
116	0.2556662291
117	0.2553552995
118	0.2549808599
119	0.254673695
120	0.2545128612
121	0.254284057
122	0.2538175091
123	0.2535940111
124	0.2533345728
125	0.2527969589
126	0.2523715301
127	0.2522710552
128	0.2518912199
129	0.2516995165
130	0.2516254376
131	0.2511733666
132	0.2510130521
133	0.2504845592
134	0.2501020478
135	0.2497600467
136	0.2493996024
137	0.2492737275
138	0.2489433852
139	0.2486104194
140	0.2483712401
141	0.2481301465
142	0.2476963911
143	0.2474059051
144	0.2471819776
145	0.2470482272
146	0.2468502398
147	0.2466037528
148	0.2464256725
149	0.2461894067
150	0.2459900091
151	0.2456808563
152	0.2454076061
153	0.2452421237
